0	50000	-7800
10000	50000	-9013
20000	50000	-10227
30000	50000	-11440
40000	50000	-12653
50000	50000	-13867
60000	50000	-15080
70000	50000	-16293
80000	50000	-17507
90000	50000	-18720
100000	50000	-19933
110000	50000	-21147
120000	50000	-22360
130000	50000	-23573
140000	50000	-24787
150000	50000	-26000
160000	50000	-27800
170000	50000	-29600
180000	50000	-31400
190000	50000	-33200
200000	50000	-35000
